2019-05-12 14:38:14,185 [  18001]   INFO - j.ide.ui.OptionsTopHitProvider - 1372 ms spent to cache options in application 
2019-05-12 14:38:14,185 [  18001]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 1389 ms 
2019-05-12 14:38:14,332 [  18148]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-05-12 14:38:14,796 [  18612]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-05-12 14:38:15,528 [  19344]   INFO - j.ide.ui.OptionsTopHitProvider - 1029 ms spent on EDT to cache options in application 
2019-05-12 14:38:15,604 [  19420]   INFO - j.ide.plugins.RepositoryHelper - using cached plugin list (updated at 5/12/2019 2:38 PM) 
2019-05-12 14:38:16,164 [  19980]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt id-index from C:\Users\camper\.PyCharmCE2019.1\system\index\.persistent\prebuilt\Python\id-index.input 
2019-05-12 14:38:16,206 [  20022]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-05-12 14:38:16,221 [  20037]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
2019-05-12 14:38:16,335 [  20151]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:HTML,XML,Python,Markdown,PythonStub,Properties 
2019-05-12 14:38:16,424 [  20240]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-05-12 14:38:16,437 [  20253]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
2019-05-12 14:38:16,506 [  20322]   INFO - il.indexing.FileBasedIndexImpl - Index DomFileIndex will be built. 
2019-05-12 14:38:16,506 [  20322]   INFO - il.indexing.FileBasedIndexImpl - Index RelaxSymbolIndex will be built. 
2019-05-12 14:38:16,534 [  20350]   INFO - il.indexing.FileBasedIndexImpl - Index XmlTagNames will be built. 
2019-05-12 14:38:16,534 [  20350]   INFO - il.indexing.FileBasedIndexImpl - Index XmlNamespaces will be built. 
2019-05-12 14:38:16,549 [  20365]   INFO - il.indexing.FileBasedIndexImpl - Index html5.custom.attributes.index will be built. 
2019-05-12 14:38:16,605 [  20421]   INFO - il.indexing.FileBasedIndexImpl - Index SchemaTypeInheritance will be built. 
2019-05-12 14:38:16,619 [  20435]   INFO - il.indexing.FileBasedIndexImpl - Index ImageFileInfoIndex will be built. 
2019-05-12 14:38:16,633 [  20449]   INFO - il.indexing.FileBasedIndexImpl - Index json.file.root.values will be built. 
2019-05-12 14:38:16,648 [  20464]   INFO - il.indexing.FileBasedIndexImpl - Index Py.module.name will be built. 
2019-05-12 14:38:16,733 [  20549]   INFO - il.indexing.FileBasedIndexImpl - Index Py.setuptools.namespace will be built. 
2019-05-12 14:38:16,747 [  20563]   INFO - il.indexing.FileBasedIndexImpl - Index xmlProperties will be built. 
2019-05-12 14:38:16,761 [  20577]   INFO - il.indexing.FileBasedIndexImpl - Index editorconfig.index.name will be built. 
2019-05-12 14:38:16,761 [  20577]   INFO - il.indexing.FileBasedIndexImpl - Index yaml.keys.name will be built. 
2019-05-12 14:38:16,849 [  20665]   INFO - pl$FileIndexDataInitialization - Initialization done:3716 
2019-05-12 14:38:16,849 [  20665]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.namespaceKey will be built. 
2019-05-12 14:38:16,880 [  20696]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.elementClass will be built. 
2019-05-12 14:38:16,894 [  20710]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.shortName will be built. 
2019-05-12 14:38:16,894 [  20710]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.shortNameInsensitive will be built. 
2019-05-12 14:38:16,909 [  20725]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.function.shortName will be built. 
2019-05-12 14:38:16,909 [  20725]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.super will be built. 
2019-05-12 14:38:16,924 [  20740]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.variable.shortName will be built. 
2019-05-12 14:38:16,924 [  20740]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Python.Decorator will be built. 
2019-05-12 14:38:16,939 [  20755]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.attributes will be built. 
2019-05-12 14:38:16,939 [  20755]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index properties.index will be built. 
2019-05-12 14:38:16,954 [  20770]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index markdown.header will be built. 
2019-05-12 14:38:16,954 [  20770]   INFO - exImpl$StubIndexInitialization - Initialization done:130 
2019-05-12 14:38:17,446 [  21262]   INFO - rationStore.ComponentStoreImpl - Saving appCodeInsightSettings took 14 ms, DaemonCodeAnalyzerSettings took 41 ms, EditorSettings took 14 ms, FileBasedIndex took 13 ms, GeneralSettings took 14 ms, PythonFoldingSettings took 13 ms, UISettings took 28 ms, UpdatesConfigurable took 13 ms 
2019-05-12 14:38:17,584 [  21400]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2019-05-12 14:38:17,612 [  21428]   INFO - .openapi.application.Preloader - com.intellij.openapi.actionSystem.impl.ActionPreloader took 3621 ms 
2019-05-12 14:38:17,693 [  21509]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2019-05-12 14:38:17,693 [  21509]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2019-05-12 14:38:18,110 [  21926]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.search.SearchableOptionPreloader took 565 ms 
2019-05-12 14:38:18,110 [  21926]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2019-05-12 14:38:18,124 [  21940]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-05-12 14:38:18,124 [  21940]   INFO - .openapi.application.Preloader - com.intellij.codeInsight.completion.CompletionPreloader took 13 ms 
2019-05-12 14:38:18,138 [  21954]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 0 auto-detected files
Elapsed time on auto-detect: 0 ms 
2019-05-12 14:38:18,138 [  21954]   INFO - pl.local.NativeFileWatcherImpl - Watcher terminated with exit code 0 
2019-05-12 14:38:18,138 [  21954]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2019-05-12 14:38:18,192 [  22008]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2019-05-12 14:38:18,206 [  22022]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2019-05-12 14:38:18,206 [  22022]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
